test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,4,2,S2_CHAR,3338,49,M,31,04_S2_01_CHAR.wav
137,5,5,S3_NEU,3337,49,M,31,05_S3_10_NEU.wav
137,6,3,S2_NARR,3335,49,M,31,06_S2_08_NARR.wav
137,7,3,S1_CHAR,3339,49,M,31,07_S1_05_CHAR.wav
137,8,6,S3_NEU,3337,49,M,31,08_S3_02_NEU.wav
137,9,3,S1_NARR,3340,49,M,31,09_S1_01_NARR.wav
137,10,5,S2_CHAR,3338,49,M,31,10_S2_05_CHAR.wav
137,11,4,S1_NEU,3336,49,M,31,11_S1_08_NEU.wav
137,12,4,S2_NARR,3335,49,M,31,12_S2_13_NARR.wav
137,13,6,S3_CHAR,3341,49,M,31,13_S3_02_CHAR.wav
137,14,6,S2_NEU,3342,49,M,31,14_S2_05_NEU.wav
137,15,7,S3_NARR,3343,49,M,31,15_S3_10_NARR.wav
137,16,4,S2_CHAR,3338,49,M,31,16_S2_13_CHAR.wav
137,17,6,S3_NEU,3337,49,M,31,17_S3_01_NEU.wav
137,18,5,S1_NARR,3340,49,M,31,18_S1_08_NARR.wav
137,19,5,S3_CHAR,3341,49,M,31,19_S3_01_CHAR.wav
137,20,3,S2_NEU,3342,49,M,31,20_S2_10_NEU.wav
137,21,6,S3_NARR,3343,49,M,31,21_S3_02_NARR.wav
137,22,3,S1_CHAR,3339,49,M,31,22_S1_01_CHAR.wav
137,23,6,S2_NEU,3342,49,M,31,23_S2_08_NEU.wav
137,24,5,S2_NARR,3335,49,M,31,24_S2_02_NARR.wav
137,25,4,S3_CHAR,3341,49,M,31,25_S3_05_CHAR.wav
137,26,6,S1_NEU,3336,49,M,31,26_S1_02_NEU.wav
137,27,5,S1_NARR,3340,49,M,31,27_S1_13_NARR.wav
137,28,2,S2_CHAR,3338,49,M,31,28_S2_02_CHAR.wav
137,29,4,S2_NEU,3342,49,M,31,29_S2_01_NEU.wav
137,30,4,S3_NARR,3343,49,M,31,30_S3_05_NARR.wav
137,31,3,S1_CHAR,3339,49,M,31,31_S1_13_CHAR.wav
137,32,5,S2_NEU,3342,49,M,31,32_S2_02_NEU.wav
137,33,5,S3_NARR,3343,49,M,31,33_S3_13_NARR.wav
137,34,3,S2_CHAR,3338,49,M,31,34_S2_08_CHAR.wav
137,35,4,S1_NEU,3336,49,M,31,35_S1_10_NEU.wav
137,36,6,S3_NARR,3343,49,M,31,36_S3_01_NARR.wav
137,37,2,S2_CHAR,3338,49,M,31,37_S2_10_CHAR.wav
137,38,6,S3_NEU,3337,49,M,31,38_S3_08_NEU.wav
137,39,5,S2_NARR,3335,49,M,31,39_S2_05_NARR.wav
137,40,6,S3_CHAR,3341,49,M,31,40_S3_13_CHAR.wav
137,41,5,S1_NEU,3336,49,M,31,41_S1_01_NEU.wav
137,42,6,S1_NARR,3340,49,M,31,42_S1_05_NARR.wav
137,43,7,S3_CHAR,3341,49,M,31,43_S3_08_CHAR.wav
