test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,4,2,MOK,3338,49,M.r,31,04_M01_OK.wav
137,5,5,ENY,3337,49,M.r,31,05_E10_NY.wav
137,6,3,MJU,3335,49,M.r,31,06_M08_JU.wav
137,7,3,IOK,3339,49,M.r,31,07_I05_OK.wav
137,8,6,ENY,3337,49,M.r,31,08_E02_NY.wav
137,9,3,IJU,3340,49,M.r,31,09_I01_JU.wav
137,10,5,MOK,3338,49,M.r,31,10_M05_OK.wav
137,11,4,INY,3336,49,M.r,31,11_I08_NY.wav
137,12,4,MJU,3335,49,M.r,31,12_M13_JU.wav
137,13,6,EOK,3341,49,M.r,31,13_E02_OK.wav
137,14,6,MNY,3342,49,M.r,31,14_M05_NY.wav
137,15,7,EJU,3343,49,M.r,31,15_E10_JU.wav
137,16,4,MOK,3338,49,M.r,31,16_M13_OK.wav
137,17,6,ENY,3337,49,M.r,31,17_E01_NY.wav
137,18,5,IJU,3340,49,M.r,31,18_I08_JU.wav
137,19,5,EOK,3341,49,M.r,31,19_E01_OK.wav
137,20,3,MNY,3342,49,M.r,31,20_M10_NY.wav
137,21,6,EJU,3343,49,M.r,31,21_E02_JU.wav
137,22,3,IOK,3339,49,M.r,31,22_I01_OK.wav
137,23,6,MNY,3342,49,M.r,31,23_M08_NY.wav
137,24,5,MJU,3335,49,M.r,31,24_M02_JU.wav
137,25,4,EOK,3341,49,M.r,31,25_E05_OK.wav
137,26,6,INY,3336,49,M.r,31,26_I02_NY.wav
137,27,5,IJU,3340,49,M.r,31,27_I13_JU.wav
137,28,2,MOK,3338,49,M.r,31,28_M02_OK.wav
137,29,4,MNY,3342,49,M.r,31,29_M01_NY.wav
137,30,4,EJU,3343,49,M.r,31,30_E05_JU.wav
137,31,3,IOK,3339,49,M.r,31,31_I13_OK.wav
137,32,5,MNY,3342,49,M.r,31,32_M02_NY.wav
137,33,5,EJU,3343,49,M.r,31,33_E13_JU.wav
137,34,3,MOK,3338,49,M.r,31,34_M08_OK.wav
137,35,4,INY,3336,49,M.r,31,35_I10_NY.wav
137,36,6,EJU,3343,49,M.r,31,36_E01_JU.wav
137,37,2,MOK,3338,49,M.r,31,37_M10_OK.wav
137,38,6,ENY,3337,49,M.r,31,38_E08_NY.wav
137,39,5,MJU,3335,49,M.r,31,39_M05_JU.wav
137,40,6,EOK,3341,49,M.r,31,40_E13_OK.wav
137,41,5,INY,3336,49,M.r,31,41_I01_NY.wav
137,42,6,IJU,3340,49,M.r,31,42_I05_JU.wav
137,43,7,EOK,3341,49,M.r,31,43_E08_OK.wav
137,44,7,ENY,3337,49,M.r,31,44_E05_NY.wav
137,45,4,MJU,3335,49,M.r,31,45_M10_JU.wav
137,46,4,IOK,3339,49,M.r,31,46_I08_OK.wav
137,47,3,INY,3336,49,M.r,31,47_I13_NY.wav
137,48,4,IJU,3340,49,M.r,31,48_I02_JU.wav
137,49,5,EOK,3341,49,M.r,31,49_E10_OK.wav
137,50,4,INY,3336,49,M.r,31,50_I05_NY.wav
137,51,5,EJU,3343,49,M.r,31,51_E08_JU.wav
137,52,2,IOK,3339,49,M.r,31,52_I10_OK.wav
137,53,3,MNY,3342,49,M.r,31,53_M13_NY.wav
137,54,3,IJU,3340,49,M.r,31,54_I10_JU.wav
137,55,4,IOK,3339,49,M.r,31,55_I02_OK.wav
137,56,6,ENY,3337,49,M.r,31,56_E13_NY.wav
137,57,4,MJU,3335,49,M.r,31,57_M01_JU.wav
137,4,3,MOK,3338,170,F.r,47,04_M01_OK.wav
137,5,6,ENY,3337,170,F.r,47,05_E10_NY.wav
137,6,5,MJU,3335,170,F.r,47,06_M08_JU.wav
137,7,4,IOK,3339,170,F.r,47,07_I05_OK.wav
137,8,7,ENY,3337,170,F.r,47,08_E02_NY.wav
137,9,2,IJU,3340,170,F.r,47,09_I01_JU.wav
137,10,4,MOK,3338,170,F.r,47,10_M05_OK.wav
137,11,3,INY,3336,170,F.r,47,11_I08_NY.wav
137,12,3,MJU,3335,170,F.r,47,12_M13_JU.wav
137,13,6,EOK,3341,170,F.r,47,13_E02_OK.wav
137,14,5,MNY,3342,170,F.r,47,14_M05_NY.wav
137,15,4,EJU,3343,170,F.r,47,15_E10_JU.wav
137,16,2,MOK,3338,170,F.r,47,16_M13_OK.wav
137,17,6,ENY,3337,170,F.r,47,17_E01_NY.wav
137,18,4,IJU,3340,170,F.r,47,18_I08_JU.wav
137,19,1,EOK,3341,170,F.r,47,19_E01_OK.wav
137,20,2,MNY,3342,170,F.r,47,20_M10_NY.wav
137,21,7,EJU,3343,170,F.r,47,21_E02_JU.wav
137,22,1,IOK,3339,170,F.r,47,22_I01_OK.wav
137,23,5,MNY,3342,170,F.r,47,23_M08_NY.wav
137,24,6,MJU,3335,170,F.r,47,24_M02_JU.wav
137,25,1,EOK,3341,170,F.r,47,25_E05_OK.wav
137,26,6,INY,3336,170,F.r,47,26_I02_NY.wav
137,27,1,IJU,3340,170,F.r,47,27_I13_JU.wav
137,28,1,MOK,3338,170,F.r,47,28_M02_OK.wav
137,29,3,MNY,3342,170,F.r,47,29_M01_NY.wav
137,30,6,EJU,3343,170,F.r,47,30_E05_JU.wav
137,31,2,IOK,3339,170,F.r,47,31_I13_OK.wav
137,32,6,MNY,3342,170,F.r,47,32_M02_NY.wav
137,33,6,EJU,3343,170,F.r,47,33_E13_JU.wav
137,34,3,MOK,3338,170,F.r,47,34_M08_OK.wav
137,35,1,INY,3336,170,F.r,47,35_I10_NY.wav
137,36,6,EJU,3343,170,F.r,47,36_E01_JU.wav
137,37,1,MOK,3338,170,F.r,47,37_M10_OK.wav
137,38,5,ENY,3337,170,F.r,47,38_E08_NY.wav
137,39,3,MJU,3335,170,F.r,47,39_M05_JU.wav
137,40,6,EOK,3341,170,F.r,47,40_E13_OK.wav
137,41,3,INY,3336,170,F.r,47,41_I01_NY.wav
137,42,3,IJU,3340,170,F.r,47,42_I05_JU.wav
137,43,6,EOK,3341,170,F.r,47,43_E08_OK.wav
137,44,7,ENY,3337,170,F.r,47,44_E05_NY.wav
137,45,5,MJU,3335,170,F.r,47,45_M10_JU.wav
137,46,2,IOK,3339,170,F.r,47,46_I08_OK.wav
137,47,2,INY,3336,170,F.r,47,47_I13_NY.wav
137,48,4,IJU,3340,170,F.r,47,48_I02_JU.wav
137,49,2,EOK,3341,170,F.r,47,49_E10_OK.wav
137,50,4,INY,3336,170,F.r,47,50_I05_NY.wav
137,51,4,EJU,3343,170,F.r,47,51_E08_JU.wav
137,52,1,IOK,3339,170,F.r,47,52_I10_OK.wav
137,53,2,MNY,3342,170,F.r,47,53_M13_NY.wav
137,54,1,IJU,3340,170,F.r,47,54_I10_JU.wav
137,55,1,IOK,3339,170,F.r,47,55_I02_OK.wav
137,56,7,ENY,3337,170,F.r,47,56_E13_NY.wav
137,57,3,MJU,3335,170,F.r,47,57_M01_JU.wav
137,4,2,MOK,3338,280,F.r,58,04_M01_OK.wav
137,5,6,ENY,3337,280,F.r,58,05_E10_NY.wav
137,6,3,MJU,3335,280,F.r,58,06_M08_JU.wav
137,7,2,IOK,3339,280,F.r,58,07_I05_OK.wav
137,8,6,ENY,3337,280,F.r,58,08_E02_NY.wav
137,9,5,IJU,3340,280,F.r,58,09_I01_JU.wav
137,10,2,MOK,3338,280,F.r,58,10_M05_OK.wav
137,11,6,INY,3336,280,F.r,58,11_I08_NY.wav
137,12,6,MJU,3335,280,F.r,58,12_M13_JU.wav
137,13,6,EOK,3341,280,F.r,58,13_E02_OK.wav
137,14,3,MNY,3342,280,F.r,58,14_M05_NY.wav
137,15,5,EJU,3343,280,F.r,58,15_E10_JU.wav
137,16,3,MOK,3338,280,F.r,58,16_M13_OK.wav
137,17,7,ENY,3337,280,F.r,58,17_E01_NY.wav
137,18,6,IJU,3340,280,F.r,58,18_I08_JU.wav
137,19,4,EOK,3341,280,F.r,58,19_E01_OK.wav
137,20,4,MNY,3342,280,F.r,58,20_M10_NY.wav
137,21,4,EJU,3343,280,F.r,58,21_E02_JU.wav
137,22,3,IOK,3339,280,F.r,58,22_I01_OK.wav
137,23,4,MNY,3342,280,F.r,58,23_M08_NY.wav
137,24,4,MJU,3335,280,F.r,58,24_M02_JU.wav
137,25,1,EOK,3341,280,F.r,58,25_E05_OK.wav
137,26,5,INY,3336,280,F.r,58,26_I02_NY.wav
137,27,4,IJU,3340,280,F.r,58,27_I13_JU.wav
137,28,2,MOK,3338,280,F.r,58,28_M02_OK.wav
137,29,4,MNY,3342,280,F.r,58,29_M01_NY.wav
137,30,3,EJU,3343,280,F.r,58,30_E05_JU.wav
137,31,1,IOK,3339,280,F.r,58,31_I13_OK.wav
137,32,5,MNY,3342,280,F.r,58,32_M02_NY.wav
137,33,4,EJU,3343,280,F.r,58,33_E13_JU.wav
137,34,4,MOK,3338,280,F.r,58,34_M08_OK.wav
137,35,3,INY,3336,280,F.r,58,35_I10_NY.wav
137,36,4,EJU,3343,280,F.r,58,36_E01_JU.wav
137,37,3,MOK,3338,280,F.r,58,37_M10_OK.wav
137,38,4,ENY,3337,280,F.r,58,38_E08_NY.wav
137,39,3,MJU,3335,280,F.r,58,39_M05_JU.wav
137,40,3,EOK,3341,280,F.r,58,40_E13_OK.wav
137,41,1,INY,3336,280,F.r,58,41_I01_NY.wav
137,42,2,IJU,3340,280,F.r,58,42_I05_JU.wav
137,43,4,EOK,3341,280,F.r,58,43_E08_OK.wav
137,44,5,ENY,3337,280,F.r,58,44_E05_NY.wav
137,45,3,MJU,3335,280,F.r,58,45_M10_JU.wav
137,46,1,IOK,3339,280,F.r,58,46_I08_OK.wav
137,47,1,INY,3336,280,F.r,58,47_I13_NY.wav
137,48,2,IJU,3340,280,F.r,58,48_I02_JU.wav
137,49,3,EOK,3341,280,F.r,58,49_E10_OK.wav
137,50,2,INY,3336,280,F.r,58,50_I05_NY.wav
137,51,3,EJU,3343,280,F.r,58,51_E08_JU.wav
137,52,1,IOK,3339,280,F.r,58,52_I10_OK.wav
137,53,4,MNY,3342,280,F.r,58,53_M13_NY.wav
137,54,3,IJU,3340,280,F.r,58,54_I10_JU.wav
137,55,2,IOK,3339,280,F.r,58,55_I02_OK.wav
137,56,5,ENY,3337,280,F.r,58,56_E13_NY.wav
137,57,3,MJU,3335,280,F.r,58,57_M01_JU.wav
137,4,2,MOK,3338,427,F.r,42,04_M01_OK.wav
137,5,7,ENY,3337,427,F.r,42,05_E10_NY.wav
137,6,3,MJU,3335,427,F.r,42,06_M08_JU.wav
137,7,1,IOK,3339,427,F.r,42,07_I05_OK.wav
137,8,6,ENY,3337,427,F.r,42,08_E02_NY.wav
137,9,1,IJU,3340,427,F.r,42,09_I01_JU.wav
137,10,4,MOK,3338,427,F.r,42,10_M05_OK.wav
137,11,1,INY,3336,427,F.r,42,11_I08_NY.wav
137,12,2,MJU,3335,427,F.r,42,12_M13_JU.wav
137,13,5,EOK,3341,427,F.r,42,13_E02_OK.wav
137,14,2,MNY,3342,427,F.r,42,14_M05_NY.wav
137,15,6,EJU,3343,427,F.r,42,15_E10_JU.wav
137,16,3,MOK,3338,427,F.r,42,16_M13_OK.wav
137,17,6,ENY,3337,427,F.r,42,17_E01_NY.wav
137,18,1,IJU,3340,427,F.r,42,18_I08_JU.wav
137,19,2,EOK,3341,427,F.r,42,19_E01_OK.wav
137,20,1,MNY,3342,427,F.r,42,20_M10_NY.wav
137,21,7,EJU,3343,427,F.r,42,21_E02_JU.wav
137,22,1,IOK,3339,427,F.r,42,22_I01_OK.wav
137,23,5,MNY,3342,427,F.r,42,23_M08_NY.wav
