var,expr,mathjax
F0semitoneFrom27.5Hz_sma3nz_amean,"mean~italic(f)[o]","$\mathrm{mean}~f_{o}$"
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,"italic(f)[o]~SD[norm]","$f_{o}~\mathrm{SD_{norm}}$"
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,"italic(f)[o]~pctl[20]","$f_{o}\mathrm{~pctl_{20}}$"
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,"italic(f)[o]~pctl[50]","$f_{o}\mathrm{~pctl_{50}}$"
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,"italic(f)[o]~pctl[80]","$f_{o}\mathrm{~pctl_{80}}$"
F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2,"italic(f)[o]~pctlrg","$f_{o}\mathrm{~pctlrg}$"
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,"mean~rising~slope~italic(f)[o]","$\mathrm{mean~rising~slope}~f_{o}$"
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,"rising~slope~italic(f)[o]~SD","$\mathrm{rising~slope~}f_{o}\mathrm{~SD}$"
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,"mean~falling~slope~italic(f)[o]","$\mathrm{mean~falling~slope}~f_{o}$"
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,"falling~slope~italic(f)[o]~SD","$\mathrm{falling~slope~}f_{o}\mathrm{~SD}$"
loudness_sma3_amean,"mean~loudness","$\mathrm{mean~loudness}$"
loudness_sma3_stddevNorm,"loudness~SD[norm]","$\mathrm{loudness~SD_{norm}}$"
loudness_sma3_percentile20.0,"loudness~pctl[20]","$\mathrm{loudness~pctl_{20}}$"
loudness_sma3_percentile50.0,"loudness~pctl[50]","$\mathrm{loudness~pctl_{50}}$"
loudness_sma3_percentile80.0,"loudness~pctl[80]","$\mathrm{loudness~pctl_{80}}$"
loudness_sma3_pctlrange0.2,"loudness~pctlrg","$\mathrm{loudness~pctlrg}$"
loudness_sma3_meanRisingSlope,"mean~rising~slope~loudness","$\mathrm{mean~rising~slope~loudness}$"
loudness_sma3_stddevRisingSlope,"rising~slope~loudness~SD","$\mathrm{rising~slope~loudness~SD}$"
loudness_sma3_meanFallingSlope,"mean~falling~slope~loudness","$\mathrm{mean~falling~slope~loudness}$"
loudness_sma3_stddevFallingSlope,"falling~slope~loudness~SD","$\mathrm{falling~slope~loudness~SD}$"
spectralFlux_sma3_amean,"mean~spectral~flux","$\mathrm{mean~spectral~flux}$"
spectralFlux_sma3_stddevNorm,"spectral~flux~SD[norm]","$\mathrm{spectral~flux~SD_{norm}}$"
mfcc1_sma3_amean,"mean~MFCC[1]","$\mathrm{mean~MFCC_{1}}$"
mfcc1_sma3_stddevNorm,"MFCC[1]~SD[norm]","$\mathrm{MFCC_{1}~SD_{norm}}$"
mfcc2_sma3_amean,"mean~MFCC[2]","$\mathrm{mean~MFCC_{2}}$"
mfcc2_sma3_stddevNorm,"MFCC[2]~SD[norm]","$\mathrm{MFCC_{2}~SD_{norm}}$"
mfcc3_sma3_amean,"mean~MFCC[3]","$\mathrm{mean~MFCC_{3}}$"
mfcc3_sma3_stddevNorm,"MFCC[3]~SD[norm]","$\mathrm{MFCC_{3}~SD_{norm}}$"
mfcc4_sma3_amean,"mean~MFCC[4]","$\mathrm{mean~MFCC_{4}}$"
mfcc4_sma3_stddevNorm,"MFCC[4]~SD[norm]","$\mathrm{MFCC_{4}~SD_{norm}}$"
jitterLocal_sma3nz_amean,"mean~local~jitter","$\mathrm{mean~local~jitter}$"
jitterLocal_sma3nz_stddevNorm,"local~jitter~SD[norm]","$\mathrm{local~jitter~SD_{norm}}$"
shimmerLocaldB_sma3nz_amean,"mean~local~shimmer","$\mathrm{mean~local~shimmer}$"
shimmerLocaldB_sma3nz_stddevNorm,"local~shimmer~SD[norm]","$\mathrm{local~shimmer~SD_{norm}}$"
HNRdBACF_sma3nz_amean,"mean~HNR","$\mathrm{mean~HNR}$"
HNRdBACF_sma3nz_stddevNorm,"HNR~SD[norm]","$\mathrm{HNR~SD_{norm}}$"
