test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,4,3,MOK,3338,3,F.r,65,04_M01_OK.wav
137,5,5,ENY,3337,3,F.r,65,05_E10_NY.wav
137,6,5,MJU,3335,3,F.r,65,06_M08_JU.wav
137,7,4,IOK,3339,3,F.r,65,07_I05_OK.wav
137,8,5,ENY,3337,3,F.r,65,08_E02_NY.wav
137,9,3,IJU,3340,3,F.r,65,09_I01_JU.wav
137,10,5,MOK,3338,3,F.r,65,10_M05_OK.wav
137,11,6,INY,3336,3,F.r,65,11_I08_NY.wav
137,12,3,MJU,3335,3,F.r,65,12_M13_JU.wav
137,13,4,EOK,3341,3,F.r,65,13_E02_OK.wav
137,14,5,MNY,3342,3,F.r,65,14_M05_NY.wav
137,15,4,EJU,3343,3,F.r,65,15_E10_JU.wav
137,16,3,MOK,3338,3,F.r,65,16_M13_OK.wav
137,17,6,ENY,3337,3,F.r,65,17_E01_NY.wav
137,18,3,IJU,3340,3,F.r,65,18_I08_JU.wav
137,19,2,EOK,3341,3,F.r,65,19_E01_OK.wav
137,20,3,MNY,3342,3,F.r,65,20_M10_NY.wav
137,21,5,EJU,3343,3,F.r,65,21_E02_JU.wav
137,22,2,IOK,3339,3,F.r,65,22_I01_OK.wav
137,23,5,MNY,3342,3,F.r,65,23_M08_NY.wav
137,24,4,MJU,3335,3,F.r,65,24_M02_JU.wav
137,25,6,EOK,3341,3,F.r,65,25_E05_OK.wav
137,26,5,INY,3336,3,F.r,65,26_I02_NY.wav
137,27,3,IJU,3340,3,F.r,65,27_I13_JU.wav
137,28,2,MOK,3338,3,F.r,65,28_M02_OK.wav
137,29,3,MNY,3342,3,F.r,65,29_M01_NY.wav
137,30,5,EJU,3343,3,F.r,65,30_E05_JU.wav
137,31,2,IOK,3339,3,F.r,65,31_I13_OK.wav
137,32,4,MNY,3342,3,F.r,65,32_M02_NY.wav
137,33,4,EJU,3343,3,F.r,65,33_E13_JU.wav
137,34,2,MOK,3338,3,F.r,65,34_M08_OK.wav
137,35,2,INY,3336,3,F.r,65,35_I10_NY.wav
137,36,4,EJU,3343,3,F.r,65,36_E01_JU.wav
137,37,2,MOK,3338,3,F.r,65,37_M10_OK.wav
137,38,6,ENY,3337,3,F.r,65,38_E08_NY.wav
137,39,6,MJU,3335,3,F.r,65,39_M05_JU.wav
137,40,5,EOK,3341,3,F.r,65,40_E13_OK.wav
137,41,3,INY,3336,3,F.r,65,41_I01_NY.wav
137,42,6,IJU,3340,3,F.r,65,42_I05_JU.wav
137,43,6,EOK,3341,3,F.r,65,43_E08_OK.wav
137,44,7,ENY,3337,3,F.r,65,44_E05_NY.wav
137,45,5,MJU,3335,3,F.r,65,45_M10_JU.wav
